Component,Description,Part,References,Value,Configuration,Footprint,Quantity Per PCB,,,Digi-Key PN,Voltage,display_footprint,Footprint Display,Tolerance,Wattage
1,Unpolarized capacitor,C_Custom,C1007 C1008 C1009 C1010 C1016,10nF,,C_0603,5,,,1276-1009-1-ND,50V,603,,,
2,Unpolarized capacitor,C_Custom,C707 C708 C709 C1001 C1002 C1003 C1004 C1005 C1006 C1011 C1012 C1013 C1014 C1015 C1017,0.1uF,,C_0603,15,,,1276-CL10B104KB8NNNLCT-ND,50V,603,,,
3,,C_Custom,C304 C305,0.1uF,ETC,C_0603,2,,,1276-CL10B104KB8NNNLCT-ND,50V,603,,,
4,,C_Custom,C301 C302 C303,10uF,ETC,C_0603,3,,,1276-1871-1-ND,10V,603,,,
5,Unpolarized capacitor,C_Custom,C701 C702 C703 C704 C705 C706,10uF,,C_0603,6,,,1276-1871-1-ND,10V,603,,,
6,"Tricolor Black Surface LED, Common Anode Pin 1, PLCC-4",ASMB-MTB0-0A3A2,D701 D702 D703 D704 D705 D706 D707 D708,ASMB-MTB0-0A3A2,,LED_Avago_PLCC4_3.2x2.8mm_CW,8,,,516-3279-1-ND,,,,,
7,Light emitting diode,LED,D901 D1001 D1002 D1003 D1004 D1005 D1006 D1007 D1008 D1009 D1010 D1011,Amber,,LED_0603,12,,,732-150060AS75000CT-ND,,,,,
8,"40V 0.35A Small Signal Schottky Diode, SOD-323",BAT48JFILM,D301,BAT48JFILM,ETC,D_SOD-323,1,,,497-5711-1-ND,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
16,"Generic connector, double row, 02x32, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x32_Top_Bottom,J201,Conn_02x32_Top_Bottom,,CONN_5120528-1_TYC,1,,,A104089CT-ND,,,,,
17,,Screw,MK1107 MK1108 MK1115 MK1116 MK1123 MK1124 MK1131 MK1132 MK1133 MK1134 MK1135 MK1136 MK1137 MK1138 MK1139 MK1140,Screw,,,16,,,36-9900-ND,,,,,
18,,Standoff,MK1101 MK1102 MK1103 MK1104 MK1105 MK1106 MK1109 MK1110 MK1111 MK1112 MK1113 MK1114 MK1117 MK1118 MK1119 MK1120 MK1121 MK1122 MK1125 MK1126 MK1127 MK1128 MK1129 MK1130,Standoff,,,24,,,1772-2080-ND 1772-1220-ND,,,,,
19,,Q_NPN_BEC,Q401 Q402 Q403 Q407 Q408 Q409 Q501 Q502 Q503 Q504 Q505 Q506 Q507 Q508 Q509 Q510 Q511 Q512 Q513 Q514 Q515,MMSTA42,,SOT-323_SC-70,21,,,MMSTA42-FDICT-ND,,,SOT-323,,
20,,Q_PNP_BEC,Q404 Q405 Q406 Q410 Q411 Q412,MMSTA92,,SOT-323_SC-70,6,,,MMSTA92-TPCT-ND,,,SOT-323,,
21,Resistor,R_Custom,R901 R1001 R1002 R1003 R1004 R1005 R1006 R1007 R1008 R1009 R1010 R1011 R1016 R1017 R1018 R1019 R1021,499,,R_0603,17,,,541-CRCW0603499RFKEBCT-ND,,603,,1%,1/10W
22,Resistor,R_Custom,R704 R705 R706,3.65k,,R_0603,3,,,541-3.65KHCT-ND,,603,,1%,1/10W
23,Resistor,R_Custom,R701 R1012 R1013 R1014 R1015 R1020,10k,,R_0603,6,,,541-10.0KHCT-ND,,603,,1%,1/10W
24,Resistor,R_Custom,R301 R302 R305,10k,ETC,R_0603,3,,,541-10.0KHCT-ND,,603,,1%,1/10W
25,Resistor,R_Custom,R401 R402 R403 R413 R414 R415 R501 R502 R503 R504 R505 R506 R507 R508 R509 R510 R511 R512 R513 R515 R516,10k,,R_0603,21,,,541-10.0KHCT-ND,,603,,1%,1/10W
26,,R,R601 R602 R603 R604,10k,,R_0805,4,,,541-3015-1-ND,,805,,1%,1/10W
27,Resistor,R_Custom,R410 R411 R412 R422 R423 R424 R514,18k,,R_0805,7,,,541-18.0KCCT-ND,,805,,1%,1/8W
28,Resistor,R_Custom,R407 R408 R409 R419 R420 R421,100k,,R_0805,6,,,541-4318-1-ND,,805,,1%,1/8W
29,Resistor,R_Custom,R303,392k,ETC,R_0603,1,,,541-392KHCT-ND,,603,,1%,1/10W
30,Resistor,R_Custom,R404 R405 R406 R416 R417 R418 R801 R802 R803 R804 R805 R806 R807 R808 R809 R810 R811 R812 R813 R814 R815 R816 R817,470k,,R_0805,23,,,541-470KCCT-ND Digi-Key PN: 541-470KCCT-ND,,805,,1%,1/8W
31,Resistor,R_Custom,R304,1M,ETC,R_0603,1,,,541-2990-1-ND,,603,,1%,1/10W
32,"I2C Serial EEPROM, 2Kb, SOT-23",24AA02-OT,U1002,24AA02-OT,,SOT-23-5,1,,,24AA02E64T-I/OT,,,,,
33,"Single-key Touch Sensor, SOT-23-6",AT42QT1010-TSHR,U1003 U1004 U1005 U1006 U1007,AT42QT1010-TSHR,,SOT-23-6,5,,,AT42QT1010-TSHRCT-ND,,,,,
34,,DS1683,U301,DS1683,ETC,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,,DS1683S+-ND,,,,,
35,"LP50xx 9-Channel, 12-Bit PWM Ultra-low Quiescent Current I2C RGB LED Drivers",LP5009,U701 U702 U703,LP5009,,UQFN-20-1EP_3x3mm_Pitch0.4mm,3,,,296-LP5009RUKRCT-ND,,,,,
36,Single I2C/SMBUS Address Translator,LTC4316DD,U302,LTC4316DD,ETC,DFN-10-1EP_3x3mm_Pitch0.5mm,1,,,LTC4316IDD#PBF-ND,,,,,
37,"16-bit I/O expander, I2C and SMBus interface, interrupts, w/ pull-ups, QFN-24",TCA9555RGER,U1001,TCA9555RGER,,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,,,296-44537-1-ND,,,,,
38,,IN12B,V601 V602 V603 V604 V605 V608,IN12B,,IN-12B,6,,,,,,,,
39,,IN3,V606 V607 V609 V610,IN3,,LED_D5.0mm,4,,,,,,,,
